ZONE I=361 J=100 K=1
2.224475e+00 -2.776419e-01 -1.910945e-01 -8.159496e+02
2.227774e+00 -2.694520e-01 -1.910945e-01 -6.736384e+02
2.230979e+00 -2.612731e-01 -1.910945e-01 -4.624963e+02
2.234073e+00 -2.530938e-01 -1.910945e-01 -2.759161e+02
2.237054e+00 -2.449117e-01 -1.910945e-01 -1.773603e+02
2.239925e+00 -2.367290e-01 -1.910945e-01 -1.736662e+02
2.242682e+00 -2.285436e-01 -1.910945e-01 -2.670680e+02
2.245347e+00 -2.203659e-01 -1.910945e-01 -4.607341e+02
2.247917e+00 -2.121940e-01 -1.910945e-01 -6.812676e+02
2.250377e+00 -2.040200e-01 -1.910945e-01 -8.209389e+02
2.252742e+00 -1.958508e-01 -1.910945e-01 -8.097166e+02
2.254990e+00 -1.876754e-01 -1.910945e-01 -6.729139e+02
2.257130e+00 -1.794991e-01 -1.910945e-01 -4.825812e+02
2.259188e+00 -1.713314e-01 -1.910945e-01 -2.980440e+02
2.261143e+00 -1.631638e-01 -1.910945e-01 -1.633086e+02
2.263001e+00 -1.549980e-01 -1.910945e-01 -8.733206e+01
2.264756e+00 -1.468317e-01 -1.910945e-01 -5.929288e+01
2.266408e+00 -1.386653e-01 -1.910945e-01 -6.721318e+01
2.267964e+00 -1.305005e-01 -1.910945e-01 -1.245784e+02
2.269426e+00 -1.223379e-01 -1.910945e-01 -2.469765e+02
2.270798e+00 -1.141780e-01 -1.910945e-01 -4.293216e+02
2.272072e+00 -1.060188e-01 -1.910945e-01 -6.380857e+02
2.273248e+00 -9.785977e-02 -1.910945e-01 -8.203300e+02
2.274324e+00 -8.970058e-02 -1.910945e-01 -9.334283e+02
2.275308e+00 -8.154306e-02 -1.910945e-01 -1.007638e+03
2.276207e+00 -7.338781e-02 -1.910945e-01 -1.051905e+03
2.277000e+00 -6.523139e-02 -1.910945e-01 -1.074368e+03
2.277707e+00 -5.707675e-02 -1.910945e-01 -1.076361e+03
2.278310e+00 -4.892141e-02 -1.910945e-01 -1.067388e+03
2.278824e+00 -4.076703e-02 -1.910945e-01 -1.049948e+03
2.279239e+00 -3.261282e-02 -1.910945e-01 -1.031062e+03
2.279570e+00 -2.445953e-02 -1.910945e-01 -1.011463e+03
2.279808e+00 -1.630638e-02 -1.910945e-01 -9.954198e+02
2.279945e+00 -8.153095e-03 -1.910945e-01 -9.865508e+02
2.279991e+00 -5.231800e-09 -1.910945e-01 -9.833073e+02
2.276416e+00 -5.231800e-09 -1.942562e-01 -2.056718e+03
2.276372e+00 8.090728e-03 -1.942562e-01 -2.057656e+03
2.276236e+00 1.618162e-02 -1.942562e-01 -2.062618e+03
2.275999e+00 2.427237e-02 -1.942562e-01 -2.072722e+03
2.275669e+00 3.236315e-02 -1.942562e-01 -2.082793e+03
2.275262e+00 4.045541e-02 -1.942562e-01 -2.083566e+03
2.274753e+00 4.854752e-02 -1.942562e-01 -2.079117e+03
2.274142e+00 5.663904e-02 -1.942562e-01 -2.062158e+03
2.273446e+00 6.473189e-02 -1.942562e-01 -2.020460e+03
2.272660e+00 7.282600e-02 -1.942562e-01 -1.949955e+03
2.271769e+00 8.091909e-02 -1.942562e-01 -1.850648e+03
2.270793e+00 8.901423e-02 -1.942562e-01 -1.714345e+03
2.269725e+00 9.711090e-02 -1.942562e-01 -1.534072e+03
2.268560e+00 1.052080e-01 -1.942562e-01 -1.259322e+03
2.267294e+00 1.133045e-01 -1.942562e-01 -9.476569e+02
2.265929e+00 1.214010e-01 -1.942562e-01 -6.715985e+02
2.264480e+00 1.295014e-01 -1.942562e-01 -4.783617e+02
2.262933e+00 1.376029e-01 -1.942562e-01 -3.940488e+02
2.261291e+00 1.457058e-01 -1.942562e-01 -4.266106e+02
2.259555e+00 1.538113e-01 -1.942562e-01 -5.534742e+02
2.257709e+00 1.619138e-01 -1.942562e-01 -7.736762e+02
2.255761e+00 1.700160e-01 -1.942562e-01 -1.069065e+03
2.253728e+00 1.781247e-01 -1.942562e-01 -1.388594e+03
2.251590e+00 1.862322e-01 -1.942562e-01 -1.668434e+03
2.249359e+00 1.943443e-01 -1.942562e-01 -1.808330e+03
2.247021e+00 2.024554e-01 -1.942562e-01 -1.716826e+03
2.244576e+00 2.105645e-01 -1.942562e-01 -1.416797e+03
2.242031e+00 2.186763e-01 -1.942562e-01 -1.031958e+03
2.239375e+00 2.267853e-01 -1.942562e-01 -7.220121e+02
2.236638e+00 2.349068e-01 -1.942562e-01 -5.923658e+02
2.233790e+00 2.430270e-01 -1.942562e-01 -6.747755e+02
2.230826e+00 2.511428e-01 -1.942562e-01 -9.239578e+02
2.227758e+00 2.592605e-01 -1.942562e-01 -1.260554e+03
2.224575e+00 2.673744e-01 -1.942562e-01 -1.563415e+03
2.221288e+00 2.754918e-01 -1.942562e-01 -1.722060e+03
2.217908e+00 2.836213e-01 -1.942562e-01 -1.724212e+03
2.214406e+00 2.917447e-01 -1.942562e-01 -1.569216e+03
2.210793e+00 2.998679e-01 -1.942562e-01 -1.313235e+03
2.207054e+00 3.079823e-01 -1.942562e-01 -1.121341e+03
2.203207e+00 3.161012e-01 -1.942562e-01 -1.094063e+03
2.199250e+00 3.242243e-01 -1.942562e-01 -1.228109e+03
2.195183e+00 3.323536e-01 -1.942562e-01 -1.473825e+03
